Total records: 754,409
Total unique values: 170

================================================================================
ALL HOW REPORTED VALUES
================================================================================

'Radio'                                  :  297,057 ( 39.38%)
'Phone'                                  :  185,196 ( 24.55%)
'Self-Initiated'                         :  107,617 ( 14.27%)
'9-1-1'                                  :  101,842 ( 13.50%)
'Walk-In'                                :   24,834 (  3.29%)
'Other - See Notes'                      :   19,922 (  2.64%)
'eMail'                                  :    9,258 (  1.23%)
'Fax'                                    :    4,731 (  0.63%)
'Canceled Call'                          :    1,350 (  0.18%)
'Mail'                                   :      658 (  0.09%)
'Teletype'                               :      290 (  0.04%)
'phone'                                  :      204 (  0.03%)
'radio'                                  :      134 (  0.02%)
'Virtual Patrol'                         :       75 (  0.01%)
'911'                                    :       63 (  0.01%)
'self'                                   :       47 (  0.01%)
'fax'                                    :       21 (  0.00%)
'rs'                                     :       20 (  0.00%)
'0'                                      :       18 (  0.00%)
'email'                                  :       13 (  0.00%)
'r'                                      :       13 (  0.00%)
'walk-In'                                :       10 (  0.00%)
'tr'                                     :        9 (  0.00%)
'['                                      :        9 (  0.00%)
'sr'                                     :        8 (  0.00%)
're'                                     :        8 (  0.00%)
'other - See Notes'                      :        7 (  0.00%)
'Oh'                                     :        7 (  0.00%)
'.'                                      :        7 (  0.00%)
'rt'                                     :        6 (  0.00%)
'RADIO'                                  :        6 (  0.00%)
'r`'                                     :        6 (  0.00%)
'phome'                                  :        6 (  0.00%)
'8'                                      :        5 (  0.00%)
'Email'                                  :        5 (  0.00%)
'walk-in'                                :        5 (  0.00%)
'ppp'                                    :        5 (  0.00%)
'RQ'                                     :        4 (  0.00%)
'`r'                                     :        4 (  0.00%)
'91'                                     :        4 (  0.00%)
'walk in'                                :        4 (  0.00%)
'15'                                     :        4 (  0.00%)
'\n'                                     :        4 (  0.00%)
'Det. '                                  :        4 (  0.00%)
'PHONE'                                  :        3 (  0.00%)
'9-1-1\nWalk-In'                         :        3 (  0.00%)
'\\'                                     :        3 (  0.00%)
'self-initiated'                         :        3 (  0.00%)
'Phone`'                                 :        3 (  0.00%)
'SPEN'                                   :        3 (  0.00%)
'rRadio'                                 :        3 (  0.00%)
'Radiot'                                 :        3 (  0.00%)
'e'                                      :        2 (  0.00%)
' '                                      :        2 (  0.00%)
'RE'                                     :        2 (  0.00%)
'{P'                                     :        2 (  0.00%)
'407'                                    :        2 (  0.00%)
'PhonRadioe'                             :        2 (  0.00%)
'pJh'                                    :        2 (  0.00%)
'p '                                     :        2 (  0.00%)
'p'                                      :        2 (  0.00%)
'`'                                      :        2 (  0.00%)
'Raq'                                    :        2 (  0.00%)
'self-init'                              :        2 (  0.00%)
'ra'                                     :        2 (  0.00%)
'9`'                                     :        2 (  0.00%)
'self initiated'                         :        2 (  0.00%)
'wr'                                     :        2 (  0.00%)
'9-1-1.'                                 :        2 (  0.00%)
'PHone'                                  :        2 (  0.00%)
'other - See Notes\n'                    :        2 (  0.00%)
'RR'                                     :        2 (  0.00%)
